service_id,owner_plane,semantic_word,semantic_expression,sector,code_binding,evidence_contract,conformance_state,reason
orphan_service_reconciler,virtual_cpu,word://service,expression://verify-manifest-before-node-execution,sector://service-governance,config/service_protocols.json::orphan_service_reconciler,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
mirror_update_lane,virtual_cpu_vfs_mirror,word://deploy,expression://run-kapp-on-eligible-node,sector://application-deployment,config/service_protocols.json::mirror_update_lane,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
agent_registry_service,virtual_cpu_governance_plane,word://agent,expression://instantiate-governed-agent-worker,sector://agent-operations,config/service_protocols.json::agent_registry_service,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
agent_runtime_service,virtual_cpu_execution_plane,word://agent,expression://instantiate-governed-agent-worker,sector://agent-operations,config/service_protocols.json::agent_runtime_service,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
btc_core_protocol_router,virtual_cpu_network_adapter,word://service,expression://verify-manifest-before-node-execution,sector://service-governance,config/service_protocols.json::btc_core_protocol_router,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
task_milestone_monitor,virtual_cpu_worker_governance,word://verify,expression://verify-manifest-before-node-execution,sector://evidence-governance,config/service_protocols.json::task_milestone_monitor,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
workflow_schema_guard,virtual_cpu_delivery_governance,word://verify,expression://verify-manifest-before-node-execution,sector://evidence-governance,config/service_protocols.json::workflow_schema_guard,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
software_design_deployment_workflow,virtual_cpu_delivery_governance,word://deploy,expression://run-kapp-on-eligible-node,sector://application-deployment,config/service_protocols.json::software_design_deployment_workflow,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
test_runner,virtual_cpu_verification_plane,word://service,expression://verify-manifest-before-node-execution,sector://service-governance,config/service_protocols.json::test_runner,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
dependency_failure_orchestrator,virtual_cpu_resilience_plane,word://recover,expression://reconcile-deferred-work-after-dependency-recovery,sector://runtime-continuity,config/service_protocols.json::dependency_failure_orchestrator,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
k_cloud_adapter,virtual_cpu_deployment_plane,word://deploy,expression://run-kapp-on-eligible-node,sector://application-deployment,config/service_protocols.json::k_cloud_adapter,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
failure_ledger,vfs_resilience_plane,word://recover,expression://reconcile-deferred-work-after-dependency-recovery,sector://runtime-continuity,config/service_protocols.json::failure_ledger,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
health_state_monitor,virtual_cpu_health_plane,word://health,expression://observe-node-health,sector://mesh-infrastructure,config/service_protocols.json::health_state_monitor,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
application_applet_packager,virtual_cpu_application_shipping_plane,word://recover,expression://reconcile-deferred-work-after-dependency-recovery,sector://runtime-continuity,config/service_protocols.json::application_applet_packager,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
deployment_maturity_workplan,virtual_cpu_release_governance_plane,word://deploy,expression://run-kapp-on-eligible-node,sector://application-deployment,config/service_protocols.json::deployment_maturity_workplan,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
current_state_surface_auditor,virtual_cpu_current_state_audit_plane,word://agent,expression://instantiate-governed-agent-worker,sector://agent-operations,config/service_protocols.json::current_state_surface_auditor,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
evidence_context_resolver,virtual_cpu_evidence_reasoning_plane,word://service,expression://verify-manifest-before-node-execution,sector://service-governance,config/service_protocols.json::evidence_context_resolver,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
semantic_knowledge_graph,virtual_cpu_semantic_governance_plane,word://verify,expression://verify-manifest-before-node-execution,sector://evidence-governance,config/service_protocols.json::semantic_knowledge_graph,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
four_plane_context_framework,virtual_cpu_context_governance_plane,word://service,expression://verify-manifest-before-node-execution,sector://service-governance,config/service_protocols.json::four_plane_context_framework,recognize→execute→verify→write_receipt→readback→handoff,SEMANTICALLY_BOUND,service contract and boundary available
