component_id,component_type,owner_plane,issue_code,maturity_state,corrective_workflow,pending_workload,action_command,required_receipts,dependency_class,fallback_path,reentry_condition,promotion_boundary
software_design_deployment_workflow,SERVICE_APPLET,virtual_cpu_delivery_governance,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
test_runner,SERVICE_APPLET,virtual_cpu_verification_plane,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
dependency_failure_orchestrator,SERVICE_APPLET,virtual_cpu_resilience_plane,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
k_cloud_adapter,SERVICE_APPLET,virtual_cpu_deployment_plane,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_MANDATORY,adapter.local-k-app-package-outbox,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
failure_ledger,SERVICE_APPLET,vfs_resilience_plane,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
health_state_monitor,SERVICE_APPLET,virtual_cpu_health_plane,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
application_applet_packager,SERVICE_APPLET,virtual_cpu_application_shipping_plane,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
deployment_maturity_workplan,SERVICE_APPLET,virtual_cpu_release_governance_plane,PROVIDER_GATE_PENDING,LOCAL_SHIPPABLE_WITH_TARGET_GATES,provider_gate,Keep local package and outbox active while awaiting external/provider or target-host proof.,capture signed provider/peer receipt then replay outbox,runtime_volume/outbox/*;provider_peer_ack_receipt_or_target_host_receipt,EXTERNAL_GATE,adapter.local-static-applet,provider or target host produces signed receipt and capability readback,PROVIDER_REQUIRED_OR_TARGET_HOST_REQUIRED
current_state_surface_auditor,SERVICE_APPLET,virtual_cpu_current_state_audit_plane,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
evidence_context_resolver,SERVICE_APPLET,virtual_cpu_evidence_reasoning_plane,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
semantic_knowledge_graph,SERVICE_APPLET,virtual_cpu_semantic_governance_plane,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
four_plane_context_framework,SERVICE_APPLET,virtual_cpu_context_governance_plane,INTEGRITY_READBACK_REQUIRED,LOCAL_SHIPPABLE,full_local_acceptance,Preserve module as local shippable K-APP and keep running acceptance receipts until target host deployment is available.,bash scripts/run.command,evidence/application_applet_shipping_receipt.json;evidence/k_cloud_deployment_receipt.json;evidence/test_runner_receipt.json,CORE_DEGRADED,adapter.local-static-applet,local receipts pass and no target-host gate is required for local surface,LOCAL_PASS_WITH_TARGET_HOST_BOUNDARY_IF_APPLICABLE
pull_request_32_review_surface,GOVERNANCE_WORKFLOW,delivery_governance,REVIEW_SURFACE_TOO_LARGE,TARGET_HOST_REQUIRED,split_release,"After local receipt pack stabilizes, split the integration workbench into smaller release PRs so each lane can be reviewed, deployed and rolled back independently.",create lane-specific PRs after evidence artifact is captured,PR split plan; per-lane test receipts; per-lane K-APP packages,CORE_DEGRADED,continue current integration branch until split is safe,local run.command receipt pack is stable and target-host evidence is captured,RELEASE_REVIEW_REQUIRED
m3_target_host_deployment,TARGET_HOST_WORKFLOW,target_host_receipt_harness,TARGET_HOST_GATE_PENDING,TARGET_HOST_REQUIRED,target_host,"Register self-hosted macOS ARM64 runner, run host acceptance, capture launchd/iostat/browser/K-APP catalog readback receipts.","run v98-host-acceptance on [self-hosted, macOS, ARM64, KEDDEH-M3]",GitHub Actions artifact;launchd status;iostat receipt;browser catalog readback,EXTERNAL_GATE,portable local K-APP packages and outbox replay,matching M3 runner executes and uploads evidence artifact,TARGET_HOST_REQUIRED
